,Location,Datetime,Tags,Like_Count,User_Name,url
0,향리단커피,2019년 12월 22일,"['#향리단스콘', '#향남맛집', '#스콘', '#스콘맛집', '#화성카페', '#향남카페', '#수원카페', '#동탄카페', '#봉담카페', '#스콘카페', '#밀크티', '#레몬케이크', '#파운드케이크', '#온더테이블', '#카페투어', '#신상카페', '#휘낭시에', '#치즈케이크', '#브라우니', '#딸기', '#요거트', '#그릭요거트']",48,hrdcoffee,https://www.instagram.com/p/B6XfP5YgO2g/
1,Changwon,2019년 12월 30일,[],11,staymood_candle,https://www.instagram.com/p/B6n6jBfFVNK/
2,The Cheesecake Factory,2019년 12월 17일,"['#대기20분', '#줄줄이소세지', '#하와이', '#하와이신혼여행', '#하와이맛집', '#치즈케이크팩토리', '#오늘도맥주', '#피곤터짐', '#치즈케이크', '#takeout']",35,_dbddbd_,https://www.instagram.com/p/B6po6sxghvm/
3,인사이드커피-Insidecoffee,2019년 12월 17일,"['#코흘리게', '#못생긴', '#나의중학생시절', '#기억하는사람', '#16년지기', '#고니', '#선우', '#너도나도', '#코흘리게', '#헤헤', '#내년도역시잘부탁한다', '#인사이드커피', '#여기', '#맛깡패', '#커피맛집', '#아이스크림맛집', '#케이크까지맛집', '#다맛있으면어째', '#반칙일세', '#창원대', '#카페스타그램', '#우유아이스크림', '#치즈케이크', '#창원카페', '#카페추천', '#마산', '#창원', '#마산카페', '#소통', '#기록', '#일상기록']",38,jojosuhyun,https://www.instagram.com/p/B6qIMZdprLK/
4,"Seoul, South Korea",2019년 12월 30일,"['#월요일', '#모닝커피', '#커피빈', '#치즈케이크', '#셋이아닌둘이서', '#커피스타그램', '#일상스타그램']",21,eunyoung3280,https://www.instagram.com/p/B6pOCC8jNaf/
5,가람커피로스터스,2019년 12월 23일,"['#가람커피로스터스', '#케ㅤㅇㅣㅋ', '#치즈케익팩토리', '#치즈케이크', '#치팩케ㅤㅇㅣㅋ', '#본마을', '#가람커피로스터스로', '#청계산카페', '#로스터리카페', '#여의천', '#자전거길카페', '#여의천카페', '#여의천자전거길', '#내곡동', '#내곡동카페', '#내곡동맛집', '#신원동', '#신원동카페', '#본마을', '#본마을카페', '#스페셜티커피', '#스페셜티카페', '#싱글오리진', '#싱글오리진커피', '#필터커피', '#가람커피', '#가람로스터스', '#가람커피로스터즈']",39,garamcoffeeroasters,https://www.instagram.com/p/B6Cbm_NgITo/
6,덴켄,2019년 12월 24일,"['#덴켄', '#공릉동카페', '#공릉', '#공릉동', '#공릉카페', '#공트럴파크', '#공트럴파크카페', '#공리단길', '#공리단길카페', '#쿠키', '#수제쿠키', '#치즈케이크', '#초코녹차케이크', '#라떼아트', '#노원카페', '#초코브라우니', '#노원', '#노원구', '#신상카페', '#신상카페추천', '#카페투어', '#카페', '#커피', '#덴켄카페', '#카페덴켄', '#cafedenken', '#덴켄커피', '#딸기라떼', '#딸기']",45,cafe.denken,https://www.instagram.com/p/B6b3hF1JD13/
7,C27 cheesecake&coffee,2019년 12월 15일,"['#trevary', '#trevary', '#c27cheesecakeandcoffee', '#c27', '#치즈케이크', '#씨이십칠본점', '#신사동', '#신사동카페', '#카페타임']",408,trevary_korea,https://www.instagram.com/p/B6rVGXlF8M_/
8,I Am Autumn,2019년 12월 28일,[],95,cafe.iam.autumn,https://www.instagram.com/p/B6DGuDog8PI/
9,LightBeam Coffee Roasters,2019년 12월 23일,"['#커피숍', '#치즈케이크', '#taichung', '#coffee', '#dessert', '#bluemonday']",25,harulu_,https://www.instagram.com/p/B6Kdc9gnaLe/
